DateTime,Parameter A,Parameter B,Parameter C,Parameter D,Parameter E,Parameter F,Parameter G
1,1.36,0.62,-0.7,6.2,-1.01,-0.31,5.38
2,1.52,0.8,-0.21,6.2,0.2,-0.6,5.12
3,2.01,0.42,0.93,6.2,0.88,0.45,5.17
4,2.41,-0.1,3.03,6.22,1.87,-1.35,5.52
5,1.77,-1.06,4.33,6.15,2.4,-2.27,5.2
6,1.56,-2,4.52,6.18,2.18,-3.31,5.13
7,1.25,-2.81,4.43,6.07,2.02,-2.43,3.15
8,0.48,-3.66,3.74,6.11,1.14,-3.25,2.43
9,-0.45,-4.17,2.05,6.13,0.59,-2.28,-0.8
10,-1.28,-4.42,0.44,6.12,-0.43,-1.48,-1.98
11,-1.5,-4.04,0.11,6.1,-0.16,-0.97,-2.15
12,-1.77,-3.66,0.13,6.09,-0.44,-4,-1.09
13,-2.62,-2.73,0.17,6.07,-0.17,-4.11,-0.36
14,-2.9,-1.53,-0.55,6.14,-1.86,-2.51,-0.35
15,-1.7,-0.57,-0.98,6.1,-1.46,-1.85,-1.37
16,0.08,0,-1.89,6.12,-3.39,0.8,-2.04
17,1.08,0.43,-2.31,6.16,-3.36,1.8,-2.42
18,1.3,0.24,-2.65,6.13,-3.4,0.9,-2.72
19,1.31,0,-2.75,6.16,-3.63,-1.75,-1.34
20,1.58,-0.59,-3.08,6.17,-3.08,-1.82,-0.75
21,1.65,-1.82,-3.61,6.18,-3.4,-3.85,-0.53
22,1.78,-2.51,-3.43,6.22,-3.24,-2.72,-0.12
23,1.56,-3.37,-3.16,6.19,-4.15,-1.26,-0.97
24,1.14,-4.15,-2.64,6.18,-3.33,0.04,-0.21
25,0.28,-4.55,-2.03,6.23,-2.71,-1.93,0.53
26,-0.54,-4.73,-1.23,6.18,-1.81,-0.51,1.25
27,-0.41,-4.63,-1.09,6.16,-1.46,-1.15,2.03
28,-0.01,-4.37,-0.44,6.16,1.35,-2.27,2.78
29,-0.25,-4.15,1.36,6.13,2.49,-1.03,6.35
30,-0.63,-3.8,3.32,6.13,3.5,-0.1,6.64
31,-1.22,-3.34,4.4,4.81,3.91,0.45,6.86
32,-1.74,-2.86,4.64,2.5,4.28,-0.33,6.05
33,-2.56,-2.23,5.62,1.54,4.45,-3.06,6.01
34,-3.52,-1.58,5.5,0.42,4.69,-3.99,5.37
35,-4.22,-0.95,5.15,0.28,4.01,-4.62,3.6
36,-4.42,-0.34,4.73,-1.1,3.93,-3.57,2.23
37,-4.1,0.08,3.55,-2.66,3.45,-1.08,-0.42
38,-3.48,0.87,1.59,-4.08,2.68,-0.1,-1.11
39,-2.46,0.83,0.05,-4.3,2.14,-0.48,-1.92
40,-1.37,0.84,-1.41,-4.65,1.62,-0.64,-2.63
41,-0.38,0.45,-2.64,-4.73,0.72,-2.42,-3.57
42,0.12,-0.25,-3.76,-4.88,-0.81,-2.73,-4.38
43,0.31,-0.97,-4.83,-4.91,-2.21,-1.6,-5.31
44,1.19,-1.71,-5.2,-5.05,-4.82,-2.59,-5.87
45,2.48,-2.79,-5.03,-5.48,-4.08,-0.93,-5.17
46,4,-3.36,-4.49,-5.47,-5.41,0.59,-4.01
47,4.71,-3.87,-2.66,-5.44,-6.08,0.75,-3.35
48,4.93,-4.38,-1.61,-5.45,-6.96,0.54,-2.6
49,4.42,-4.88,-0.98,-3.62,-8.38,-0.59,-3.52
50,3.63,-5.21,-1.07,0.48,-9.34,-2.91,-3.36
51,2.12,-5.33,-1.26,4.95,-9.28,-4.92,-4.06
52,-0.39,-5.22,-2.23,7.53,-7.39,-4.74,-0.85
53,-2.67,-4.68,-2.81,9.31,-5.93,-3.8,0.56
54,-4.49,-3.92,-3.3,10.19,-3.45,-0.08,2.68
55,-5.34,-3.05,-3.04,10.82,-2.9,1.92,3.13
56,-5.44,-2.21,-1.12,11.24,0.12,2.83,5.11
57,-5.28,-1.42,2.27,11.4,1.42,0.13,5.74
58,-4.57,-0.67,4.9,11.13,3.48,-1.24,7.92
59,-2.91,-0.12,6.46,8.3,4.14,-2.94,8.84
60,-0.25,0.14,7.71,3.91,4.77,-3.09,8.25
61,1.71,-0.01,7.16,0.91,4.22,-2.01,6.35
62,2.9,-0.24,5.32,-0.51,3.92,-2.62,3.96
63,2.68,-0.93,4.51,-1.77,3.33,-3.02,1.84
64,1.28,-1.64,1.67,-2.29,2.53,-5.34,-0.74
65,0.04,-2.12,-1.2,-2.38,1.1,-3.53,-2.31
66,-1.25,-2.65,-3.95,-2.54,-0.08,-2.8,-3.81
67,-2.12,-2.5,-5.36,-2.71,-0.77,-1.4,-4.16
68,-2.73,-2.44,-5.9,-2.69,-1.61,-0.84,-4.04
69,-2.72,-1.85,-6.12,-2.85,-1.88,0.28,-3.88
70,-2.59,-1.55,-5.98,-2.87,-1.43,0.31,-3.86
71,-1.79,-1.04,-5.1,-2.82,-1.48,2.34,-1.68
72,-0.53,-0.72,-3.94,-3.02,-1.46,1.52,0.21
73,0.81,-0.61,-2.14,-3.6,-0.94,-0.29,-0.13
74,1.75,-0.75,0.53,-3.6,-1.09,-4.12,0.22
75,2.29,-1.14,2.07,-3.61,-0.53,-4.16,0.92
76,2.72,-1.53,2.18,-3.56,-0.64,-2.76,1.61
77,2.92,-2.23,0.53,-1.86,-1.2,-0.61,1.73
78,3.07,-2.93,-1.12,1.73,-1.33,-0.1,0.2
79,2.77,-3.71,-2.09,5.59,-1.84,-1.01,0.12
80,2.02,-4.22,-1.19,7.97,-1.87,-1.35,-1.7
81,1.12,-4.47,0.48,9.37,-1.21,-0.98,-0.16
82,0.04,-4.4,1.65,10.04,-0.48,-0.49,2.15
83,-0.92,-4.22,2.84,10.32,0.34,-0.75,1.93
84,-1.91,-3.74,3.06,11.11,0.88,-2.79,2.92
85,-2.62,-2.61,3.71,11.06,0.79,-3.89,3.29
86,-3.6,-2.24,3.21,11.24,0.84,-2.91,1.54
87,-4.5,-1.27,2.38,11.31,0.69,-1.28,2.21
88,-5.1,-0.83,0.96,10.79,0.7,0.42,1.3
89,-4.97,-0.4,0.5,7.23,0.88,1.25,1.1
90,-4.35,-0.01,1.04,3.35,1.24,-0.81,0.79
91,-2.8,0.43,1.79,-1.43,0.84,-2.09,2.04
92,-0.69,0.47,1.87,-4.54,1.58,-3.41,2.37
93,0.8,0.23,0.53,-6.26,0.79,-3.66,1.68
94,1.41,-0.27,-1.96,-6.91,0.06,-2.03,-0.12
95,1.75,-0.66,-4.08,-7.57,-1.77,-2.23,-2.33
96,1.93,-1.36,-5.26,-7.76,-2.89,-3.15,-3.1
97,1.76,-2.1,-5.48,-8.15,-3.4,-1.58,-3.7
98,1.42,-2.61,-6,-8.39,-4.89,0.38,-4.47
99,1.71,-2.97,-6.65,-8.14,-5.27,-0.38,-4
100,2.75,-3.17,-5.68,-5.02,-5.03,0.09,-3.36
101,3.22,-2.97,-3.44,-1.43,-4.82,-2.01,-1.69
102,3.16,-3.05,-0.84,3.43,-4.32,-3.36,-1.13
103,2.53,-3.05,0.76,7.24,-3.9,-2.56,0.46
104,1.74,-2.84,1.31,8.79,-5.15,-1.6,-0.35
105,1.32,-2.81,0.82,9.67,-4.05,-0.97,-0.44
106,1.38,-2.79,0.54,10.21,-3.49,-1.21,1.46
107,0.6,-2.93,0.94,10.41,-3.19,-2.6,1.51
108,-0.58,-2.77,1.94,11.07,-2.59,-2.99,1.96
109,-1.84,-2.58,2.92,11.08,-2.14,-1.54,2.21
110,-3.03,-2.39,3.13,11.27,-1.51,-1.67,1.91
111,-3.7,-2.23,2.55,11.29,-1.63,-0.5,1.64
112,-3.78,-1.9,2.13,11.27,-1.3,-1.94,2.09
113,-3.73,-1.77,1.06,9.63,-0.36,-2.96,2.13
114,-3.65,-1.58,0.04,6.46,0.33,-1.03,3.22
115,-3.87,-1.33,-0.22,1.88,1,-1.83,3.33
116,-4.38,-1.11,0.68,-2.34,0.93,-1.31,2.9
117,-4.44,-0.82,1,-4.44,0.86,-3.62,2.16
118,-3.82,-0.36,0.94,-6.04,0.31,-2.56,0.43
119,-2.5,0.25,0.48,-6.34,0.01,1.17,0.45
120,0.06,0.71,-0.61,-6.65,0.25,1.92,-0.28
121,2.72,0.45,-1.55,-6.88,-0.41,1.27,-0.56
122,5.09,0.29,-1.82,-7.16,0.58,-1.5,1.15
123,6.36,-0.66,-1.06,-7.5,-0.09,-3.44,1.03
